Top queries,Clicks,Impressions,CTR,Position,cluster
duo,47348,1100685,4.3%,3.74,0
duo mobile,40675,244210,16.66%,2.26,0
duo security,35369,98580,35.88%,1.01,0
duo admin,16659,27066,61.55%,1.06,0
duo admin login,13563,22871,59.3%,1.18,0
duo login,11081,29026,38.18%,1.46,0
cisco duo,10045,34469,29.14%,1.29,0
duo mobile login,6469,13753,47.04%,1.09,0
duo desktop,5948,10685,55.67%,1.02,0
duo push,3281,7395,44.37%,1.03,0
duo authentication,3172,12851,24.68%,1.01,0
duo desktop download,3079,4147,74.25%,1.0,0
duo mobile app,3044,37369,8.15%,2.7,0
duo win,2885,13181,21.89%,1.11,0
duo app,2833,40663,6.97%,3.18,0
duo admin portal,2698,4998,53.98%,1.05,0
duomobile,2545,10065,25.29%,2.2,0
duo security login,2543,5442,46.73%,1.0,0
duo mfa,2090,8879,23.54%,1.14,0
2fa authentication,1977,41251,4.79%,3.79,0
duo admin panel,1949,3302,59.02%,1.04,0
2fa,1898,804382,0.24%,8.5,0
cisco duo login,1779,3446,51.63%,1.0,0
duo cisco,1703,4179,40.75%,1.08,0
duo win login,1509,3593,42%,1.0,0
duosecurity,1277,3373,37.86%,1.01,0
bluetooth hack,1097,3634,30.19%,3.92,1
duoadmin,1093,1642,66.57%,1.01,0
duo passport,941,1351,69.65%,1.0,0
duo enrollment,928,2260,41.06%,1.02,0
two factor authentication,911,133822,0.68%,7.25,0
duo sso,907,2449,37.04%,1.02,0
duo 2fa,890,3116,28.56%,1.05,0
cisco duo admin,876,1730,50.64%,1.02,0
duo support,856,1618,52.9%,1.08,0
duo authentication proxy,826,1798,45.94%,1.12,0
duo win login game,796,4317,18.44%,1.37,0
duo central,790,1422,55.56%,1.03,0
duo authentication for windows logon download,742,1164,63.75%,1.0,0
bypass google account,738,9992,7.39%,4.53,2
2 factor authentication,720,61061,1.18%,7.81,0
duo pricing,691,2454,28.16%,1.12,0
duo security careers,682,921,74.05%,1.0,0
download duo desktop,668,950,70.32%,1.0,0
duo portal,666,2165,30.76%,1.7,0
admin duo,664,1298,51.16%,1.06,0
duo mobile pc,661,1171,56.45%,1.19,0
duo push login,650,972,66.87%,1.01,0
duo admin console,648,1033,62.73%,1.04,0
duo auth proxy,647,1183,54.69%,1.0,0
duo authenticator,645,3373,19.12%,1.14,0
duo admin api,643,907,70.89%,1.0,0
duo downloads,641,1026,62.48%,1.01,0
duo download,638,2912,21.91%,2.56,0
duo desktop app,636,1089,58.4%,1.03,0
duo mobile download,625,2784,22.45%,2.66,0
duo self service portal,597,937,63.71%,1.01,0
duo authentication proxy download,590,830,71.08%,1.0,0
duo network gateway,585,992,58.97%,1.01,0
duo login admin,583,868,67.17%,1.1,0
duopush,567,932,60.84%,1.01,0
duo sign in,561,1342,41.8%,1.06,0
duo api,559,1059,52.79%,1.19,0
duo device management portal,558,1179,47.33%,1.03,0
duo security download,546,1188,45.96%,1.23,0
duo windows installer,542,765,70.85%,1.0,0
duo installer,513,945,54.29%,1.41,0
duo authentication for windows logon,510,1091,46.75%,1.0,0
duo rdp download,510,920,55.43%,1.0,0
duo passwordless,505,1068,47.28%,1.01,0
duo free,490,1108,44.22%,1.11,0
duo log in,471,1777,26.51%,2.92,0
duo desktop authenticator,469,784,59.82%,1.01,0
duo eam,468,724,64.64%,1.0,0
cisco duo admin login,456,1183,38.55%,1.68,0
duo rdp,450,916,49.13%,1.0,0
duosecurity.com,438,865,50.64%,1.0,0
duosec,435,2655,16.38%,1.43,0
2fa authenticator,415,17566,2.36%,8.61,0
duo verified push,410,781,52.5%,1.0,0
duo for windows download,409,610,67.05%,1.0,0
